match_id,player_id,player,team,period,minute,second,x,y,distance,inside_box,play_pattern,outcome,is_goal,shot_type,body_part,technique,first_time,under_pressure,xg
3912593,62666.0,Ingrid Filippa Angeldal,Manchester City WFC,2,93,55,101.0,63.0,29.8,Outside box,From Free Kick,Saved,0,Open Play,Right Foot,Normal,False,False,0.010822548
3913099,32403.0,Emma Wilhelmina Koivisto,Liverpool WFC,1,1,26,113.3,53.1,14.7,Inside box,From Throw In,Blocked,0,Open Play,Right Foot,Normal,True,True,0.027027696
3913099,24706.0,Sophie Roman Haug,Liverpool WFC,1,2,2,115.3,38.5,4.9,Inside box,From Corner,Off T,0,Open Play,Head,Normal,False,False,0.17270342
3913099,20725.0,Pauline Bremer,Brighton & Hove Albion WFC,1,3,22,101.0,28.9,22.0,Outside box,From Throw In,Saved,0,Open Play,Left Foot,Normal,False,False,0.04127184
3913099,405180.0,Charlize Jayde Rule,Brighton & Hove Albion WFC,1,4,9,111.2,34.2,10.5,Inside box,From Corner,Off T,0,Open Play,Right Foot,Half Volley,True,False,0.18100289
3913099,276301.0,Elisabeth Terland,Brighton & Hove Albion WFC,1,7,12,118.4,34.3,5.9,Inside box,From Corner,Blocked,0,Open Play,Left Foot,Half Volley,True,True,0.1256915
3913099,276301.0,Elisabeth Terland,Brighton & Hove Albion WFC,1,12,47,114.7,36.9,6.1,Inside box,From Corner,Blocked,0,Open Play,Head,Normal,False,True,0.14088531
3913099,276304.0,Guro Bergsvand,Brighton & Hove Albion WFC,1,19,48,114.0,32.3,9.8,Inside box,From Free Kick,Blocked,0,Open Play,Right Foot,Half Volley,True,False,0.08322534
3913099,85004.0,Maisie Symonds,Brighton & Hove Albion WFC,1,22,2,109.8,45.7,11.7,Inside box,Regular Play,Saved,0,Open Play,Right Foot,Volley,True,False,0.05566859
3913099,10648.0,Shanice van de Sanden,Liverpool WFC,1,26,10,114.2,33.4,8.8,Inside box,Regular Play,Blocked,0,Open Play,Right Foot,Volley,True,False,0.074041605
3913099,15554.0,Gemma Bonner,Liverpool WFC,1,26,46,114.6,32.0,9.7,Inside box,From Corner,Goal,1,Open Play,Head,Normal,False,False,0.06596908
3913099,24706.0,Sophie Roman Haug,Liverpool WFC,1,29,29,103.0,39.8,17.0,Inside box,Regular Play,Saved,0,Open Play,Head,Normal,False,False,0.021345895
3913099,24706.0,Sophie Roman Haug,Liverpool WFC,1,32,53,109.0,32.2,13.5,Inside box,From Throw In,Saved Off Target,0,Open Play,Head,Normal,False,True,0.021430805
3913099,322359.0,Ceri Holland,Liverpool WFC,1,37,39,116.6,31.2,9.4,Inside box,From Corner,Off T,0,Open Play,Right Foot,Volley,True,False,0.09647118
3913099,10648.0,Shanice van de Sanden,Liverpool WFC,1,42,54,115.2,49.8,10.9,Inside box,From Throw In,Goal,1,Open Play,Right Foot,Normal,False,False,0.22152005
3913099,276301.0,Elisabeth Terland,Brighton & Hove Albion WFC,2,54,15,109.8,31.5,13.3,Inside box,From Free Kick,Off T,0,Open Play,Head,Normal,False,False,0.026882095
3913099,24706.0,Sophie Roman Haug,Liverpool WFC,2,57,17,91.2,12.4,39.9,Outside box,From Free Kick,Wayward,0,Open Play,Left Foot,Half Volley,True,False,0.006032473
3913099,322359.0,Ceri Holland,Liverpool WFC,2,62,15,117.5,42.2,3.3,Inside box,From Counter,Goal,1,Open Play,Head,Normal,False,False,0.8938091
3913099,10648.0,Shanice van de Sanden,Liverpool WFC,2,68,8,111.0,45.6,10.6,Inside box,From Free Kick,Saved,0,Open Play,Right Foot,Normal,False,True,0.35771254
3913099,24706.0,Sophie Roman Haug,Liverpool WFC,2,69,36,112.7,41.2,7.4,Inside box,Regular Play,Off T,0,Open Play,Head,Normal,False,True,0.09323416
3913099,10648.0,Shanice van de Sanden,Liverpool WFC,2,70,44,106.0,48.9,16.6,Inside box,From Counter,Off T,0,Open Play,Right Foot,Normal,False,True,0.20297807
3913099,18146.0,Leanne Kiernan,Liverpool WFC,2,74,25,108.5,56.6,20.2,Inside box,From Free Kick,Post,0,Open Play,Right Foot,Normal,False,False,0.04811134
3913099,18146.0,Leanne Kiernan,Liverpool WFC,2,82,37,111.9,41.7,8.3,Inside box,From Throw In,Saved,0,Open Play,Head,Normal,False,False,0.12426775
3913099,24237.0,Missy Bo Kearns,Liverpool WFC,2,89,42,102.4,51.5,21.0,Inside box,From Counter,Saved,0,Open Play,Right Foot,Normal,False,False,0.081229426
3913099,24706.0,Sophie Roman Haug,Liverpool WFC,2,91,59,113.1,42.3,7.3,Inside box,Regular Play,Goal,1,Open Play,Right Foot,Normal,True,False,0.4286753
3913099,10167.0,Tatiana Vanessa Ferreira Pinto,Brighton & Hove Albion WFC,2,93,26,97.1,40.2,22.9,Outside box,Regular Play,Off T,0,Open Play,Right Foot,Normal,False,True,0.026309349
3913148,25834.0,Viviane Asseyi,West Ham United LFC,1,21,15,101.1,35.9,19.3,Outside box,From Keeper,Off T,0,Open Play,Right Foot,Normal,False,True,0.039824177
3913148,18146.0,Leanne Kiernan,Liverpool WFC,1,37,41,103.7,49.4,18.8,Inside box,Regular Play,Saved,0,Open Play,Right Foot,Normal,False,True,0.12488718
