player_id,player,position,team,position_group
50193,Anouk Denton,Right Wing Back,West Ham United LFC,Defender
132033,Courtney Jade Nevin,Left Back,Leicester City WFC,Defender
338059,Clare Wheeler,Left Wing Back,Everton LFC,Defender
16386,Lucy Hope,Right Wing Back,Everton LFC,Defender
370018,Shannon Cooke,Left Center Back,West Ham United LFC,Defender
18999,Leah Williamson,Right Center Back,Arsenal WFC,Defender
322322,Jessica Ziu,Right Wing,West Ham United LFC,Forward
31551,Kit Graham,Center Attacking Midfield,Tottenham Hotspur Women,Midfielder
329372,Mia Enderby,Right Center Forward,Liverpool WFC,Forward
26093,Gun Nathalie Björn,Left Center Back,Chelsea FCW,Defender
26520,Yuka Momiki,Left Center Midfield,Leicester City WFC,Midfielder
15706,Rachel Furness,Left Defensive Midfield,Bristol City WFC,Midfielder
10192,Jordan Nobbs,Right Defensive Midfield,Aston Villa W,Midfielder
224822,Jutta Rantala,Right Midfield,Leicester City WFC,Midfielder
131575,Mengwen Li,Right Back,Brighton & Hove Albion WFC,Defender
131586,Kyra Lillee Cooney-Cross,Right Defensive Midfield,Arsenal WFC,Midfielder
10648,Shanice van de Sanden,Right Center Forward,Liverpool WFC,Forward
10225,Aurora Galli,Left Defensive Midfield,Everton LFC,Midfielder
4642,Millie Bright,Right Center Back,Chelsea FCW,Defender
61467,Jessica Naz,Center Forward,Tottenham Hotspur Women,Forward
84765,Carrie Jones,Right Defensive Midfield,Bristol City WFC,Midfielder
361311,Mia Renee Fishel,Center Forward,Chelsea FCW,Forward
25453,Geum-Min Lee,Center Attacking Midfield,Brighton & Hove Albion WFC,Midfielder
224866,Anna Marika Bergman Lundin,Left Defensive Midfield,West Ham United LFC,Midfielder
63784,Lize Kop,Goalkeeper,Leicester City WFC,Goalkeeper
15648,Melanie Leupolz,Left Defensive Midfield,Chelsea FCW,Midfielder
31527,Ebony Salmon,Right Wing,Aston Villa W,Forward
4984,Rachel Corsie,Left Center Back,Aston Villa W,Defender
33675,Laura Madison Blindkilde Brown,Left Center Midfield,Aston Villa W,Midfielder
10088,Katrine Veje,Left Center Back,Everton LFC,Defender
224149,Elise Isolde Stenevik,Left Center Back,Everton LFC,Defender
32229,Sara Holmgaard,Left Wing Back,Everton LFC,Defender
15562,Lucy Staniforth,Left Defensive Midfield,Aston Villa W,Midfielder
34499,Hanna Ulrika Bennison,Left Center Midfield,Everton LFC,Midfielder
46541,Asmita Ale,Right Back,Leicester City WFC,Defender
10514,Guro Reiten,Left Wing,Chelsea FCW,Forward
19501,Hayley Ladd,Right Defensive Midfield,Manchester United W,Midfielder
10404,Noelle Maritz,Right Back,Aston Villa W,Defender
